index,path,sign,total_frame
3.0,data/abyan/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,30
7.0,data/abyan/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,28
11.0,data/abyan/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,33
15.0,data/abyan/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,35
19.0,data/abyan/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,37
22.0,data/abyan/raw_landmarks/Resep Obat Demam_2.parquet,demam,36
25.0,data/abyan/raw_landmarks/Resep Obat Demam_5.parquet,demam,30
28.0,data/abyan/raw_landmarks/Resep Obat Demam_8.parquet,demam,35
31.0,data/abyan/raw_landmarks/Resep Obat Demam_11.parquet,demam,35
34.0,data/abyan/raw_landmarks/Resep Obat Demam_14.parquet,demam,25
37.0,data/abyan/raw_landmarks/Resep Obat Demam_17.parquet,demam,23
41.0,data/abyan/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,23
45.0,data/abyan/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,24
48.0,data/abyan/raw_landmarks/Resep Obat Sakit Gigi_10.parquet,gigi,26
51.0,data/abyan/raw_landmarks/Resep Obat Sakit Gigi_13.parquet,gigi,33
54.0,data/abyan/raw_landmarks/Resep Obat Sakit Gigi_16.parquet,gigi,29
57.0,data/abyan/raw_landmarks/Resep Obat Sakit Gigi_19.parquet,gigi,25
61.0,data/abyan/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,26
65.0,data/abyan/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,24
69.0,data/abyan/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,24
72.0,data/abyan/raw_landmarks/Minum Obat Demam_2.parquet,demam,32
75.0,data/abyan/raw_landmarks/Minum Obat Demam_5.parquet,demam,45
78.0,data/abyan/raw_landmarks/Minum Obat Demam_8.parquet,demam,39
81.0,data/abyan/raw_landmarks/Minum Obat Demam_11.parquet,demam,26
84.0,data/abyan/raw_landmarks/Minum Obat Demam_14.parquet,demam,33
87.0,data/abyan/raw_landmarks/Minum Obat Demam_17.parquet,demam,29
91.0,data/abyan/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,22
95.0,data/abyan/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,22
99.0,data/abyan/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,27
103.0,data/abyan/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,24
107.0,data/abyan/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,24
111.0,data/abyan/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,24
115.0,data/abyan/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,26
119.0,data/abyan/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,gigi,23
123.0,data/abyan/raw_landmarks/Minum Obat Sakit Gigi_15.parquet,gigi,26
127.0,data/abyan/raw_landmarks/Minum Obat Sakit Gigi_19.parquet,gigi,33
131.0,data/abyan/raw_landmarks/Minum Obat Sakit Gigi_23.parquet,gigi,28
134.0,data/abyan/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,31
137.0,data/abyan/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,34
140.0,data/abyan/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,22
143.0,data/abyan/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,22
146.0,data/abyan/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,26
149.0,data/abyan/raw_landmarks/Resep Obat Batuk_17.parquet,batuk,25
153.0,data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_3.parquet,kepala,29
157.0,data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_7.parquet,kepala,30
161.0,data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_11.parquet,kepala,27
165.0,data/abyan/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,25
169.0,data/abyan/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,26
173.0,data/abyan/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,24
177.0,data/abyan/raw_landmarks/Resep Obat Sakit Perut_15.parquet,perut,24
181.0,data/abyan/raw_landmarks/Resep Obat Sakit Perut_19.parquet,perut,22
184.0,data/abyan/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,30
187.0,data/abyan/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,57
190.0,data/abyan/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,39
193.0,data/abyan/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,34
196.0,data/abyan/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,33
199.0,data/abyan/raw_landmarks/Minum Obat Batuk_17.parquet,batuk,38
203.0,data/dani/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,39
207.0,data/dani/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,49
211.0,data/dani/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,25
215.0,data/dani/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,32
219.0,data/dani/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,23
223.0,data/dani/raw_landmarks/Minum Obat Sakit Perut_23.parquet,perut,36
226.0,data/dani/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,30
229.0,data/dani/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,48
