path,sign
data/abyan/raw_landmarks/Minum Obat Sakit Perut_0.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Perut_1.parquet,obat
data/abyan/raw_landmarks/Minum Obat Sakit Perut_2.parquet,sakit
data/abyan/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut
data/abyan/raw_landmarks/Minum Obat Sakit Perut_4.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Perut_5.parquet,obat
data/abyan/raw_landmarks/Minum Obat Sakit Perut_6.parquet,sakit
data/abyan/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut
data/abyan/raw_landmarks/Minum Obat Sakit Perut_8.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Perut_9.parquet,obat
data/abyan/raw_landmarks/Minum Obat Sakit Perut_10.parquet,sakit
data/abyan/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut
data/abyan/raw_landmarks/Minum Obat Sakit Perut_12.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Perut_13.parquet,obat
data/abyan/raw_landmarks/Minum Obat Sakit Perut_14.parquet,sakit
data/abyan/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut
data/abyan/raw_landmarks/Minum Obat Sakit Perut_16.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Perut_17.parquet,obat
data/abyan/raw_landmarks/Minum Obat Sakit Perut_18.parquet,sakit
data/abyan/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut
data/abyan/raw_landmarks/Resep Obat Demam_0.parquet,resep
data/abyan/raw_landmarks/Resep Obat Demam_1.parquet,obat
data/abyan/raw_landmarks/Resep Obat Demam_2.parquet,demam
data/abyan/raw_landmarks/Resep Obat Demam_3.parquet,resep
data/abyan/raw_landmarks/Resep Obat Demam_4.parquet,obat
data/abyan/raw_landmarks/Resep Obat Demam_5.parquet,demam
data/abyan/raw_landmarks/Resep Obat Demam_6.parquet,resep
data/abyan/raw_landmarks/Resep Obat Demam_7.parquet,obat
data/abyan/raw_landmarks/Resep Obat Demam_8.parquet,demam
data/abyan/raw_landmarks/Resep Obat Demam_9.parquet,resep
data/abyan/raw_landmarks/Resep Obat Demam_10.parquet,obat
data/abyan/raw_landmarks/Resep Obat Demam_11.parquet,demam
data/abyan/raw_landmarks/Resep Obat Demam_12.parquet,resep
data/abyan/raw_landmarks/Resep Obat Demam_13.parquet,obat
data/abyan/raw_landmarks/Resep Obat Demam_14.parquet,demam
data/abyan/raw_landmarks/Resep Obat Demam_15.parquet,resep
data/abyan/raw_landmarks/Resep Obat Demam_16.parquet,obat
data/abyan/raw_landmarks/Resep Obat Demam_17.parquet,demam
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_0.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_1.parquet,obat
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_2.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_4.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_5.parquet,obat
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_6.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_8.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_9.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_10.parquet,gigi
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_11.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_12.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_13.parquet,gigi
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_14.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_15.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_16.parquet,gigi
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_17.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_18.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_19.parquet,gigi
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_0.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_1.parquet,obat
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_2.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_4.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_5.parquet,obat
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_6.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_8.parquet,resep
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_9.parquet,obat
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_10.parquet,sakit
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala
data/abyan/raw_landmarks/Minum Obat Demam_0.parquet,minum
data/abyan/raw_landmarks/Minum Obat Demam_1.parquet,obat
data/abyan/raw_landmarks/Minum Obat Demam_2.parquet,demam
data/abyan/raw_landmarks/Minum Obat Demam_3.parquet,minum
data/abyan/raw_landmarks/Minum Obat Demam_4.parquet,obat
data/abyan/raw_landmarks/Minum Obat Demam_5.parquet,demam
data/abyan/raw_landmarks/Minum Obat Demam_6.parquet,minum
data/abyan/raw_landmarks/Minum Obat Demam_7.parquet,obat
data/abyan/raw_landmarks/Minum Obat Demam_8.parquet,demam
data/abyan/raw_landmarks/Minum Obat Demam_9.parquet,minum
data/abyan/raw_landmarks/Minum Obat Demam_10.parquet,obat
data/abyan/raw_landmarks/Minum Obat Demam_11.parquet,demam
data/abyan/raw_landmarks/Minum Obat Demam_12.parquet,minum
data/abyan/raw_landmarks/Minum Obat Demam_13.parquet,obat
data/abyan/raw_landmarks/Minum Obat Demam_14.parquet,demam
data/abyan/raw_landmarks/Minum Obat Demam_15.parquet,minum
data/abyan/raw_landmarks/Minum Obat Demam_16.parquet,obat
data/abyan/raw_landmarks/Minum Obat Demam_17.parquet,demam
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_0.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_1.parquet,obat
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_2.parquet,sakit
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_4.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_5.parquet,obat
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_6.parquet,sakit
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_8.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_9.parquet,obat
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_10.parquet,sakit
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_12.parquet,minum
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_13.parquet,obat
