path,sign,total_frame
data/abyan/raw_landmarks/Minum Obat Sakit Perut_0.parquet,minum,42
data/abyan/raw_landmarks/Minum Obat Sakit Perut_1.parquet,obat,33
data/abyan/raw_landmarks/Minum Obat Sakit Perut_2.parquet,sakit,35
data/abyan/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,30
data/abyan/raw_landmarks/Minum Obat Sakit Perut_4.parquet,minum,34
data/abyan/raw_landmarks/Minum Obat Sakit Perut_5.parquet,obat,24
data/abyan/raw_landmarks/Minum Obat Sakit Perut_6.parquet,sakit,39
data/abyan/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,28
data/abyan/raw_landmarks/Minum Obat Sakit Perut_8.parquet,minum,39
data/abyan/raw_landmarks/Minum Obat Sakit Perut_9.parquet,obat,23
data/abyan/raw_landmarks/Minum Obat Sakit Perut_10.parquet,sakit,35
data/abyan/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,33
data/abyan/raw_landmarks/Minum Obat Sakit Perut_12.parquet,minum,43
data/abyan/raw_landmarks/Minum Obat Sakit Perut_13.parquet,obat,29
data/abyan/raw_landmarks/Minum Obat Sakit Perut_14.parquet,sakit,45
data/abyan/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,35
data/abyan/raw_landmarks/Minum Obat Sakit Perut_16.parquet,minum,40
data/abyan/raw_landmarks/Minum Obat Sakit Perut_17.parquet,obat,23
data/abyan/raw_landmarks/Minum Obat Sakit Perut_18.parquet,sakit,29
data/abyan/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,37
data/abyan/raw_landmarks/Resep Obat Demam_0.parquet,resep,49
data/abyan/raw_landmarks/Resep Obat Demam_1.parquet,obat,24
data/abyan/raw_landmarks/Resep Obat Demam_2.parquet,demam,36
data/abyan/raw_landmarks/Resep Obat Demam_3.parquet,resep,35
data/abyan/raw_landmarks/Resep Obat Demam_4.parquet,obat,29
data/abyan/raw_landmarks/Resep Obat Demam_5.parquet,demam,30
data/abyan/raw_landmarks/Resep Obat Demam_6.parquet,resep,34
data/abyan/raw_landmarks/Resep Obat Demam_7.parquet,obat,25
data/abyan/raw_landmarks/Resep Obat Demam_8.parquet,demam,35
data/abyan/raw_landmarks/Resep Obat Demam_9.parquet,resep,38
data/abyan/raw_landmarks/Resep Obat Demam_10.parquet,obat,26
data/abyan/raw_landmarks/Resep Obat Demam_11.parquet,demam,35
data/abyan/raw_landmarks/Resep Obat Demam_12.parquet,resep,28
data/abyan/raw_landmarks/Resep Obat Demam_13.parquet,obat,26
data/abyan/raw_landmarks/Resep Obat Demam_14.parquet,demam,25
data/abyan/raw_landmarks/Resep Obat Demam_15.parquet,resep,35
data/abyan/raw_landmarks/Resep Obat Demam_16.parquet,obat,30
data/abyan/raw_landmarks/Resep Obat Demam_17.parquet,demam,23
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_0.parquet,resep,41
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_1.parquet,obat,31
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_2.parquet,sakit,41
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,23
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_4.parquet,resep,38
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_5.parquet,obat,30
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_6.parquet,sakit,39
